case,name,bug_class,ember_current,llama_cpp,llama_stderr_category,candle
gguf-001,valid-f32,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-002,valid-f16,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-003,valid-bf16,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-004,valid-q8_0,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-005,valid-q4_k,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-006,valid-q6_k,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-007,valid-metadata,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-008,valid-eof-exact,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-009,valid-two-tensors,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-010,bad-magic,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-011,unsupported-version,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-012,huge-tensor-count,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-013,huge-kv-count,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-014,truncated-header,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-015,truncated-tensor-data,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-016,offset-past-eof,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-017,offset-u64-max,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-018,dim-product-overflow,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-019,rank-zero,D,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-020,rank-five,D,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-021,zero-dimension,D,STRUCTURED_REJECT,PROCESS_CRASH,load-error,ACCEPT
gguf-022,unsupported-dtype-99,J,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-023,q4_0-unimplemented,J,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-024,q8_0-dim-misaligned,D,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-025,q4_k-dim-misaligned,D,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-026,q4_k-truncated,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-027,overlapping-ranges,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-028,duplicate-tensor-name,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-029,huge-string-length,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-030,string-longer-than-file,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-031,huge-array-count,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-032,deep-nested-arrays,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-033,bad-bool-metadata,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-034,bad-metadata-value-type,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-035,empty-metadata-key,A,STRUCTURED_REJECT,PROCESS_CRASH,assert,ACCEPT
gguf-036,bad-alignment,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-037,empty-tensor-name,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-038,offset-plus-size-overflow,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-039,huge-dimension-past-eof,B,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-040,tensor-count-above-abs-cap,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,STRUCTURED_REJECT
gguf-041,tiny-llama-valid,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-042,llama-context-u32-max,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-043,llama-block-count-1m,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-044,llama-missing-tensors,C,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-045,llama-odd-key-length,E,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-046,llama-1d-attn-q,E,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-047,llama-rope-product-cap,G,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-048,llama-unknown-architecture,C,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-049,llama-vocab-5m,C,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,ACCEPT
gguf-053,alignment-zero,A,STRUCTURED_REJECT,STRUCTURED_REJECT,load-error,PANIC
gguf-050,tiny-llama-full-valid,control,ACCEPT,ACCEPT,none,ACCEPT
gguf-051,tiny-qwen3-full-valid,control,ACCEPT,ACCEPT,none,ACCEPT
gguf-052,tiny-gemma4-full-valid,control,ACCEPT,STRUCTURED_REJECT,load-error,ACCEPT
